Player,Scores
Andre Drummond\drumman01,-3.0402139719124808
Giannis Antetokounmpo\antetgi01,-3.0290245321207214
Hassan Whiteside\whiteha01,-2.460196833607127
Andre Drummond\drumman01,-2.25554921993107
Brook Lopez\lopezbr01,-1.1343982777411439
Rudy Gobert\goberru01,-1.0060743830952292
Eric Mika\mikaer01,-0.7662927420161916
Kris Dunn\dunnkr01,-0.6953192613599555
Kevin Love\loveke01,-0.6701655590713882
Domantas Sabonis\sabondo01,-0.6360327051906136
Jonathan Isaac\isaacjo01,-0.5490163849927843
Ben Simmons\simmobe01,-0.503403206587409
Anthony Davis\davisan02,-0.46578292364099916
Fred VanVleet\vanvlfr01,-0.42721279053334094
Luka Dončić\doncilu01,-0.4120736768918256
Joe Chealey\chealjo01,-0.36881765762012186
Robert Covington\covinro01,-0.35650176984419524
Udonis Haslem\hasleud01,-0.2595904764026393
Jordan McRae\mcraejo01,-0.2595904764026393
Clint Capela\capelca01,-0.23428648150957088
Matisse Thybulle\thybuma01,-0.17856626916267615
Julius Randle\randlju01,-0.12602755499911034
Mitchell Robinson\robinmi01,-0.02243213100547692
Daniel Gafford\gaffoda01,-0.022281194134723847
Norvel Pelle\pelleno01,-0.00045134832672033554
Devontae Cacok\cacokde01,-0.00033589512456799753
Myles Turner\turnemy01,-6.0659943537544336e-05
Russell Westbrook\westbru01,3.850767580004799e-05
Jamal Crawford\crawfja01,3.8586137311114044e-05
Jacob Evans\evansja02,3.8586137311114044e-05
Jared Harper\harpeja01,3.8586137311114044e-05
Daryl Macon\maconda01,3.8586137311114044e-05
J.P. Macura\macurjp01,3.8586137311114044e-05
Malik Newman\newmama01,3.8586137311114044e-05
Max Strus\strusma01,3.8586137311114044e-05
Kristaps Porziņģis\porzikr01,6.537549993268499e-05
Kawhi Leonard\leonaka01,0.00013319981717963003
Shabazz Napier\napiesh01,0.00019071428831907156
DeAndre Jordan\jordade01,0.00038129556401678144
Derrick Walton\waltode01,0.002813538280413752
Talen Horton-Tucker\hortota01,0.004423725969497028
Dejounte Murray\murrade01,0.020290095126330954
Marcus Smart\smartma01,0.04230001206763312
Chris Paul\paulch01,0.04561946849230125
Jusuf Nurkić\nurkiju01,0.05785527847995375
Khris Middleton\middlkh01,0.0714784913416242
Khyri Thomas\thomakh01,0.1158648097777526
Jarrod Uthoff\uthofja01,0.1205763483015847
Jonas Valančiūnas\valanjo01,0.1498752260368228
Jimmy Butler\butleji01,0.19864257169290234
Kostas Antetokounmpo\antetko01,0.23128212895846367
Elfrid Payton\paytoel01,0.2659998381047597
Nikola Vučević\vucevni01,0.2724796854506959
Andrew Wiggins\wiggian01,0.2807262780244102
Juan Hernangómez\hernaju01,0.28804118072177687
Gary Harris\harriga01,0.2962345843500156
LeBron James\jamesle01,0.299106585669616
Nikola Jokić\jokicni01,0.3150829244020823
Dion Waiters\waitedi01,0.31787071527601185
Trevor Ariza\arizatr01,0.32348838352500664
