Player,Scores
Marvin Bagley III\baglema01,0.011213943394164871
Adam Mokoka\mokokad01,0.012402120976669317
Zhaire Smith\smithzh01,0.012402120976669317
Tacko Fall\fallta01,0.012425796837739145
Goga Bitadze\bitadgo01,0.012533856652849729
Bismack Biyombo\biyombi01,0.013333437203256637
John Henson\hensojo01,0.013816507563920832
C.J. Miles\milescj01,0.014195067315100063
Aaron Gordon\gordoaa01,0.01445336788992041
Jarrod Uthoff\uthofja01,0.014506505369947909
Chasson Randle\randlch01,0.015364677181464781
Montrezl Harrell\harremo01,0.015490837704507321
Solomon Hill\hillso01,0.015516961278154662
Jordan Bone\bonejo01,0.015612578615637918
Allen Crabbe\crabbal01,0.01585503976906838
John Henson\hensojo01,0.015889186778332454
De'Aaron Fox\foxde01,0.01601803524256662
James Johnson\johnsja01,0.016253345911516892
Andre Iguodala\iguodan01,0.016716610056213776
Shai Gilgeous-Alexander\gilgesh01,0.016744875715700103
Vlatko Čančar\cancavl01,0.01697763597869345
Marc Gasol\gasolma01,0.017111991983395525
Rajon Rondo\rondora01,0.017295007389302064
Drew Eubanks\eubandr01,0.01800821643363626
Zach LaVine\lavinza01,0.01814082789523752
Danilo Gallinari\gallida01,0.018331344854446985
Corey Brewer\breweco01,0.018625840176931086
Amile Jefferson\jeffeam01,0.019395567147898418
Justin Holiday\holidju01,0.01941102555266383
D'Angelo Russell\russeda01,0.019701657844362563
Bruno Caboclo\cabocbr01,0.019813185814946566
Chris Boucher\bouchch01,0.019905035316210018
Donta Hall\halldo01,0.019910221820618634
Robin Lopez\lopezro01,0.020217625740285017
Trae Young\youngtr01,0.020434674335629954
Damion Lee\leeda03,0.02080522568504295
Kyle O'Quinn\oquinky01,0.021057674166146012
William Howard\howarwi01,0.021079334397348326
Trey Burke\burketr01,0.021318149257320784
Patrick McCaw\mccawpa01,0.021318149257320784
Al Horford\horfoal01,0.022320656835870034
Markelle Fultz\fultzma01,0.022799899001078594
Jarrod Uthoff\uthofja01,0.023421994551126202
Gorgui Dieng\dienggo01,0.02354198138999214
Tyler Cook\cookty01,0.02366373408574035
Jonah Bolden\boldejo01,0.024137442305792345
Tariq Owens\owensta01,0.024137442305792345
Jordan Bell\belljo01,0.024927874472045086
Gordon Hayward\haywago01,0.025013307026929776
Jalen Lecque\lecquja01,0.02556111603267941
Bruno Caboclo\cabocbr01,0.02602383864798935
Marquese Chriss\chrisma01,0.026268885987699664
Melvin Frazier\frazime01,0.028300778098264368
Kyle Lowry\lowryky01,0.02855064459795781
Josh Richardson\richajo01,0.029063562836050272
Jaxson Hayes\hayesja02,0.029088747063443277
Isaiah Roby\robyis01,0.02954469781161101
Noah Vonleh\vonleno01,0.02954469781161101
Jae Crowder\crowdja01,0.029569986018834538
Jahlil Okafor\okafoja01,0.030055453570793422
