Player,Scores
Tacko Fall\fallta01,11.4047699988004
C.J. Miles\milescj01,11.434098036856172
Solomon Hill\hillso01,11.573353104431044
Darius Bazley\bazleda01,11.738563961929309
Malik Beasley\beaslma01,11.887995586943761
Meyers Leonard\leoname01,11.964170372956122
Mikal Bridges\bridgmi01,12.01386330912555
Gary Clark\clarkga01,12.032056406896789
Troy Brown Jr.\browntr01,12.059949528009767
OG Anunoby\anunoog01,12.106298550720748
Dion Waiters\waitedi01,12.694372811993185
Elfrid Payton\paytoel01,12.707394940550143
Justise Winslow\winslju01,12.722798706783767
Aron Baynes\baynear01,12.743265999127699
De'Aaron Fox\foxde01,12.743815481954046
Naz Reid\reidna01,12.91541541520945
Miles Bridges\bridgmi02,12.969463350744565
Keita Bates-Diop\bateske01,13.006085452534808
Kelly Oubre Jr.\oubreke01,13.02243910859875
Tony Bradley\bradlto01,13.064835018395392
JaMychal Green\greenja01,13.09775763707047
Josh Hart\hartjo01,13.100168712811223
Trevor Ariza\arizatr01,13.217784039734648
Jarrell Brantley\brantja01,13.234367934836937
Dario Šarić\saricda01,13.263545396139097
Jae Crowder\crowdja01,13.274484367306329
Ryan Anderson\anderry01,13.319559599582988
Trey Lyles\lylestr01,13.474130100737696
Dragan Bender\bendedr01,13.479627997247144
Shai Gilgeous-Alexander\gilgesh01,13.506663383921897
Justin Holiday\holidju01,13.53509839619636
Gary Harris\harriga01,13.641263652884485
Marcus Morris\morrima03,13.843169951004892
Damion Lee\leeda03,13.870294673739501
David Nwaba\nwabada01,13.874863012069381
Danny Green\greenda02,13.89570440312454
Ricky Rubio\rubiori01,13.909355204627662
Tyler Cook\cookty01,13.964454448926745
Paul George\georgpa01,14.08491038239513
Kent Bazemore\bazemke01,14.151123016118582
Larry Nance Jr.\nancela02,14.183204572662333
Torrey Craig\craigto01,14.255207685027955
Dion Waiters\waitedi01,14.255207685027955
Jarrett Culver\culveja01,14.314695929697608
Lonzo Ball\balllo01,14.374087164381677
Gary Clark\clarkga01,14.390401583232606
Nicolas Claxton\claxtni01,14.390401583232606
Zach LaVine\lavinza01,14.438607312913671
Johnathan Williams\willijo04,14.534560756836381
Brandon Ingram\ingrabr01,14.585463609788896
Caleb Swanigan\swanica01,14.715826716295227
Bruno Caboclo\cabocbr01,14.740178818157077
Jaylen Brown\brownja02,14.807334834580752
Taurean Prince\princta02,14.84946876162083
Chris Silva\silvach01,14.868478693987326
Jordan McLaughlin\mclaujo01,14.875485453428507
Rudy Gay\gayru01,14.906683744428236
Michael Carter-Williams\cartemi01,14.973913798109775
Rui Hachimura\hachiru01,15.008060616867134
Carmelo Anthony\anthoca01,15.05120642444895
Lauri Markkanen\markkla01,15.05120642444895
Royce O'Neale\onealro01,15.05120642444895
D'Angelo Russell\russeda01,15.087384119093793
Trae Young\youngtr01,15.161641677677018
Derrick Jones Jr.\jonesde02,15.316822286595315
DeMar DeRozan\derozde01,15.337681161177855
Tomáš Satoranský\satorto01,15.455241536809584
Markelle Fultz\fultzma01,15.535489404440455
Marques Bolden\boldema01,15.590835562843786
Mason Plumlee\plumlma01,15.598099520252731
Shamorie Ponds\pondssh01,15.65300616551541
DeAndre' Bembry\bembrde01,15.659368170924342
Kyle Lowry\lowryky01,15.661270523725335
Jae Crowder\crowdja01,15.663312087938412
Kyrie Irving\irvinky01,15.685013429296326
Luc Mbah a Moute\mbahalu01,15.714952685817995
Nemanja Bjelica\bjeline01,15.755780634110994
Thaddeus Young\youngth01,15.783676298753583
Trey Burke\burketr01,15.877280186151534
Patrick McCaw\mccawpa01,15.877280186151534
Dragan Bender\bendedr01,15.892225325506171
Andre Roberson\roberan03,15.908573783505666
P.J. Tucker\tuckepj01,15.98408669580324
Maurice Harkless\harklma01,16.055820779172564
Jae Crowder\crowdja01,16.07469849319233
Alex Caruso\carusal01,16.11864014237323
Bojan Bogdanović\bogdabo02,16.154450926046128
Will Barton\bartowi01,16.300000464974076
Grant Williams\willigr01,16.33906033451931
Malcolm Brogdon\brogdma01,16.523607014175568
Dāvis Bertāns\bertada01,16.570026291070832
Shabazz Napier\napiesh01,16.571990714833294
Kent Bazemore\bazemke01,16.57270102791288
De'Anthony Melton\meltode01,16.57428929625094
Trevor Ariza\arizatr01,16.575912995809766
Vincent Poirier\poirivi01,16.621856491361733
Zach Collins\colliza01,16.635192312132045
Lance Thomas\thomala01,16.63601411667254
Jabari Parker\parkeja01,16.64424120563892
Donte DiVincenzo\divindo01,16.77601529439352
Antonius Cleveland\clevean01,16.80209276830357
T.J. Warren\warretj01,16.81479651276152
Gary Clark\clarkga01,16.85244606786948
Courtney Lee\leeco01,16.86729167743004
Michael Kidd-Gilchrist\kiddgmi01,16.88922760298727
Chasson Randle\randlch01,16.907210358131515
Trevor Ariza\arizatr01,16.91402244090538
Gary Payton II\paytoga02,16.92903177259295
Rajon Rondo\rondora01,16.930776826548676
Ersan İlyasova\ilyaser01,16.943832269616454
Kyle Anderson\anderky01,16.95169312313041
Corey Brewer\breweco01,16.954008418983403
Harrison Barnes\barneha02,16.979263787839855
Tremont Waters\watertr01,17.008031419750335
Jordan Bell\belljo01,17.010430084041545
CJ McCollum\mccolcj01,17.015294951673603
Paul Millsap\millspa01,17.058350238241143
Dwight Powell\poweldw01,17.058350238241143
Caris LeVert\leverca01,17.09838208344437
Chris Chiozza\chiozch01,17.13284943629603
Caleb Swanigan\swanica01,17.14851842264421
Boban Marjanović\marjabo01,17.161027186611403
Khyri Thomas\thomakh01,17.170048309594254
Mychal Mulder\muldemy01,17.18458098262241
Pat Connaughton\connapa01,17.208872644235804
Shaquille Harrison\harrish01,17.243693585085477
Jacob Evans\evansja02,17.24777227284849
Jarrod Uthoff\uthofja01,17.261594627106756
Sindarius Thornwell\thornsi01,17.28588162996227
Alec Burks\burksal01,17.311800680778237
Caleb Swanigan\swanica01,17.334653605846064
Jamal Crawford\crawfja01,17.366892005213266
Jacob Evans\evansja02,17.366892005213266
Jared Harper\harpeja01,17.366892005213266
Daryl Macon\maconda01,17.366892005213266
J.P. Macura\macurjp01,17.366892005213266
Malik Newman\newmama01,17.366892005213266
Max Strus\strusma01,17.366892005213266
Blake Griffin\griffbl01,17.375740668706026
Tyler Herro\herroty01,17.409867181692206
Keita Bates-Diop\bateske01,17.416841345021194
Allen Crabbe\crabbal01,17.42001470429428
Bobby Portis\portibo01,17.46964782414296
Jeremy Lamb\lambje01,17.479493203112384
Marial Shayok\shayoma01,17.486019551809648
Gabe Vincent\vincega01,17.522029062662856
Cam Reddish\reddica01,17.542219914951314
Jacob Evans\evansja02,17.56586138187688
Jarrod Uthoff\uthofja01,17.571361604116507
Taj Gibson\gibsota01,17.575674643359637
Kent Bazemore\bazemke01,17.586851758748132
Tyus Jones\jonesty01,17.589787129217655
D.J. Wilson\wilsodj01,17.590799566156573
Kostas Antetokounmpo\antetko01,17.626279586512837
Khem Birch\birchkh01,17.634294422450317
Isaiah Hartenstein\harteis01,17.634294422450317
Collin Sexton\sextoco01,17.645785826163333
Jeff Green\greenje02,17.649624152435237
William Howard\howarwi01,17.661694719233513
Otto Porter\porteot01,17.671586130041796
Gary Trent Jr.\trentga02,17.686487010205845
Kyle Guy\guyky01,17.71839330744471
Evan Fournier\fournev01,17.727738060237517
Cody Zeller\zelleco01,17.73067337201468
Charlie Brown\brownch02,17.731639279776637
Frank Kaminsky\kaminfr01,17.734365997548792
Michael Porter Jr.\portemi01,17.737366384537353
Delon Wright\wrighde01,17.73924179718789
Jeremiah Martin\martije02,17.74778670733886
Justin James\jamesju01,17.7697075933426
Jalen Lecque\lecquja01,17.785453648564648
Henry Ellenson\ellenhe01,17.803161214924984
Stanton Kidd\kiddst01,17.803161214924984
Justin Patton\pattoju01,17.803161214924984
Kyle Alexander\alexaky01,17.82746060987264
Josh Gray\grayjo01,17.82746060987264
Dusty Hannahs\hannadu01,17.82746060987264
Zach Norvell\norveza01,17.82746060987264
Josh Reaves\reavejo02,17.82746060987264
Jarred Vanderbilt\vandeja01,17.82746060987264
Tyler Zeller\zellety01,17.82746060987264
Isaiah Roby\robyis01,17.83631439305281
Noah Vonleh\vonleno01,17.83631439305281
Danuel House\houseda01,17.83736742965143
Juan Hernangómez\hernaju01,17.861836110050564
Wilson Chandler\chandwi01,17.864125594016134
Norman Powell\powelno01,17.876651770290827
Mike Scott\scottmi01,17.898871352721983
Jordan Bell\belljo01,17.95379780125907
Keita Bates-Diop\bateske01,17.957451920378304
Buddy Hield\hieldbu01,17.959819623333797
Jabari Parker\parkeja01,17.966528683275783
Bradley Beal\bealbr01,17.975573213755737
Adam Mokoka\mokokad01,17.981979577556594
Zhaire Smith\smithzh01,17.981979577556594
Luguentz Dort\dortlu01,17.987314599959415
Marvin Williams\willima02,18.00270257621822
Ignas Brazdeikis\brazdig01,18.005595911537746
Patrick Beverley\beverpa01,18.015822295974278
Matt Mooney\moonema01,18.048637077659166
Shabazz Napier\napiesh01,18.063707287945572
Dorian Finney-Smith\finnedo01,18.084388347089774
Stephen Curry\curryst01,18.095181083201506
Patrick Patterson\pattepa01,18.10781927413262
Bruce Brown\brownbr01,18.127021901308375
Coby White\whiteco01,18.12723738699191
Zach Norvell\norveza01,18.134117952079517
Justin Robinson\robinju01,18.147151040447763
Donovan Mitchell\mitchdo01,18.152760614172607
Terry Rozier\roziete01,18.152760614172607
Marcus Morris\morrima03,18.171378876851374
Caleb Martin\martica02,18.21030774816756
Marcus Morris\morrima03,18.234016938947228
Marco Belinelli\belinma01,18.23487533830209
Jordan Bone\bonejo01,18.241821750521027
Melvin Frazier\frazime01,18.24549792586704
RJ Barrett\barrerj01,18.261512517947793
Jonah Bolden\boldejo01,18.268185380646123
Tariq Owens\owensta01,18.268185380646123
Romeo Langford\langfro01,18.275465343769284
Brian Bowen\bowenbr02,18.303361971744636
Tyler Cook\cookty01,18.32219787563993
Kelan Martin\martike03,18.3509556863589
Marvin Williams\willima02,18.37335950899426
Jarrod Uthoff\uthofja01,18.37752062094689
Juan Hernangómez\hernaju01,18.38748700466705
Luke Kennard\kennalu01,18.38748700466705
Dewan Hernandez\hernade01,18.39171722730362
Reggie Bullock\bullore01,18.395705457482507
Patty Mills\millspa02,18.39686095521684
Terrance Ferguson\fergute01,18.405760702144192
Chandler Parsons\parsoch01,18.4179924645345
Marvin Williams\willima02,18.43358743687342
Damian Lillard\lillada01,18.45645235176918
Josh Okogie\okogijo01,18.464969604520483
Frank Ntilikina\ntilila01,18.47164242482702
Jordan Bell\belljo01,18.472421555776076
Juwan Morgan\morgaju01,18.47912598781876
Avery Bradley\bradlav01,18.48172898369966
Jake Layman\laymaja01,18.518237449568968
Willy Hernangómez\hernawi01,18.531296392373953
D.J. Augustin\augusdj01,18.533888209669563
Michael Kidd-Gilchrist\kiddgmi01,18.547051012246474
Kyle Kuzma\kuzmaky01,18.56031215437148
